id,d_same_conflict,d_same_topic,margin,score,method,conflict,anchor_topic,positive_topic,negative_conflict,variant,author,audit_1,audit_1_agrees,audit_2,audit_2_agrees,both_audits_agree
e104500,0.702711550073,0.699118618014,-0.00359293205912,0,embedding,privacy_vs_openness,small_business,community_projects,freedom_vs_safety,0,1,B,True,B,True,True
e107194,0.66391613725,0.781268148917,0.117352011667,1,embedding,fairness_vs_mercy,education,arts,discipline_vs_comfort,0,0,B,True,B,True,True
e112381,0.694593226499,0.557775945611,-0.136817280888,0,embedding,personal_gain_vs_collective_impact,community_projects,healthcare,fairness_vs_mercy,1,2,B,True,B,True,True
e115286,0.667867396882,0.474761049625,-0.193106347256,0,embedding,autonomy_vs_approval,community_projects,education,freedom_vs_safety,1,1,B,True,B,True,True
e116018,0.805686866449,0.658393795058,-0.147293071391,0,embedding,ambition_vs_belonging,science,sport,truth_vs_loyalty,1,3,B,True,B,True,True
e117285,0.73890790329,0.610069745712,-0.128838157578,0,embedding,freedom_vs_safety,software,public_services,truth_vs_loyalty,0,3,B,True,B,True,True
e123276,0.634720216267,0.773673283607,0.13895306734,1,embedding,discipline_vs_comfort,agriculture,small_business,change_vs_tradition,0,3,B,True,B,True,True
e123750,0.634868404453,0.563858746917,-0.0710096575361,0,embedding,change_vs_tradition,sport,software,freedom_vs_safety,1,0,B,True,B,True,True
e126119,0.757314109392,0.604650853256,-0.152663256136,0,embedding,health_vs_duty,education,software,ambition_vs_belonging,1,0,B,True,B,True,True
e136130,0.706078938092,0.740763529752,0.0346845916595,1,embedding,fairness_vs_mercy,community_projects,public_services,truth_vs_loyalty,0,1,B,True,B,True,True
e138925,0.700304277175,0.796326244495,0.0960219673202,1,embedding,quality_vs_speed,small_business,arts,discipline_vs_comfort,1,0,B,True,B,True,True
e149232,0.613857238698,0.818027425291,0.204170186593,1,embedding,personal_gain_vs_collective_impact,arts,small_business,discipline_vs_comfort,1,3,C,False,B,True,False
e149636,0.798818503956,0.60027317268,-0.198545331276,0,embedding,autonomy_vs_approval,healthcare,community_projects,discipline_vs_comfort,0,3,B,True,B,True,True
e158209,0.798392382663,0.623991819041,-0.174400563623,0,embedding,health_vs_duty,agriculture,arts,discipline_vs_comfort,1,2,B,True,B,True,True
e159584,0.648799345245,0.59228098198,-0.0565183632653,0,embedding,change_vs_tradition,agriculture,sport,quality_vs_speed,1,3,B,True,B,True,True
e160554,0.649880554736,0.709801333104,0.0599207783677,1,embedding,security_vs_care,community_projects,arts,privacy_vs_openness,0,2,B,True,B,True,True
e161001,0.844836273002,0.518983051334,-0.325853221668,0,embedding,quality_vs_speed,public_services,software,health_vs_duty,0,1,B,True,B,True,True
e167029,0.744328262681,0.770470016016,0.0261417533353,1,embedding,freedom_vs_safety,arts,community_projects,fairness_vs_mercy,0,1,B,True,B,True,True
e167363,0.686088868584,0.741836556688,0.0557476881037,1,embedding,discipline_vs_comfort,science,education,privacy_vs_openness,1,0,B,True,B,True,True
