Name,Source,Direction,Sentences
gains vs. losses,decision theory ,pro,causes gains; leads to benefits; fosters improvements; generates profits; creates advantages; creates opportunities; leads to achievement; yields progress; secures victories; drives positive results.
gains vs. losses,decision theory ,con,causes losses; leads to costs; causes deterioration; generates deficits; creates disadvantages; creates obstacles; impedes achievements; causes setbacks; leads to failures; drives negative results.
safety vs. risk,decision theory ,pro,prevents risk; causes certainty; increases predictability; ensures stability; establishes safeguards; fortifies against hazards; guarantees outcomes; minimizes potential threats; leads to security; leads to reliable results
safety vs. risk,decision theory ,con,induces risk; introduces uncertainty; fosters unpredictability; destabilizes conditions; overlooks safeguards; exposes to hazards; leaves outcomes to chance; magnifies potential threats; compromises security; results in unreliable outcomes
immediacy vs. delay,decision theory ,pro,leads to immediate rewards; delivers instant gratification; provides quick results; ensures immediate benefits; generates rapid gains; offers prompt incentives; procures swift advantages; secures on-the-spot gains; achieves immediate progress; produces instantaneous rewards
immediacy vs. delay,decision theory ,con,leads to deferred rewards; imposes delayed gratification; provides slow results; requires waiting for benefits; generates slow gains; offers delayed incentives; requires long waits for advantages; misses out on immediate gains; involves stalled progress; yields rewards only after delays.
altruism and morality,decision theory ,pro,helps others; promotes fairness; fosters inclusivity; advances social welfare; contributes to societal harmony; ensures equality; strengthens communal bonds; prioritizes collective well-being; advocates for social justice; assists people in need
altruism and morality,decision theory ,con,harms others; leads to unfair outcomes; promotes exclusivity; hurts social welfare; sows societal discord; fosters inequality; breaks communal bonds; leads to selfish outcomes; benefits the rich and powerful; abandons people in need.
complexity and effort,decision theory ,pro,is simple; requires little effort; has known consequences; provides straightforward solutions; ensures transparent outcomes; removes ambiguity; promotes easy understanding; ensures predictability; is easy; has obvious implications
complexity and effort,decision theory ,con,is complex; demands significant effort; has unpredictable consequences; introduces complex solutions; obscures outcomes; creates ambiguity; hinders easy understanding; leads to unpredictability; is difficult; has hidden implications.
money,decision outcomes ,pro,generates money; increases wealth; puts extra cash in the pocket; saves money; leads to bigger paychecks; cuts down on expenses; grows savings; gives finances a boost; increases financial potential; leads to economic gains
